Feature,Importance
NOx_NO2_ratio,0.011780931606222782
CO,0.010098487359415107
NO,0.009214681708366033
NH3,0.0082437665945177
NO2,0.0071938051809245385
NOx,0.006408075427797702
PM2.5,0.006316698162109002
PM10,0.005275784088729762
IsWeekend,0.0051886364718910696
PM_ratio,0.0035129003832659557
Season,0.0032233895437941908
PM2.5_lag1,0.002972539421989649
Month,0.0023936327993351932
O3,0.0023826002363847767
AQI_rolling_std_7,0.002038870846402315
DayOfYear,0.002012523786730706
SO2,0.0019186441594241904
DayOfWeek,0.0015242972544365955
AQI_lag7,0.0015207473861793208
City_Encoded,0.001458689058246756
Quarter,0.0009877628029737917
AQI_lag1,0.0007421365140349207
AQI_rolling_mean_7,0.00037013561338582933
Benzene,0.0
Xylene,0.0
Toluene,0.0
